alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
paxos,6,2000.0,33.8,352767,2859007,2922495,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,4,1.3,27.9,1732607,2775039,2981887,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,6.7,28.1,1556479,3041279,3262463,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,13.3,28.5,1714175,2625535,3205119,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,66.7,28.1,1733631,2740223,2977791,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,133.3,28.4,1676287,2781183,3002367,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,666.7,28.4,1754111,2732031,3364863,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,1333.3,25.8,1781759,2957311,3119103,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,2000.0,26.2,1784831,2736127,3082239,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,1.3,2934.0,15167,29151,34879,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,6.7,2341.2,17391,40159,47839,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,13.3,2055.4,22047,36351,42623,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,66.7,992.0,45855,78079,91583,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,133.3,540.0,82751,152063,184959,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,666.7,97.1,465151,849919,1011199,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,1333.3,49.9,915455,1682431,1936383,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,2000.0,30.7,1527807,2908159,3297279,0_0_0_0,2_2_2_2,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
paxos,6,1.3,1469.3,10207,210687,239743,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,6.7,1459.1,9471,213119,246527,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,13.3,1158.2,8271,214527,250239,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,66.7,775.7,24847,195199,299263,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,133.3,552.1,35935,215423,327167,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,666.7,114.5,69503,887295,969727,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1333.3,48.4,274175,2197503,3170303,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,2000.0,36.2,294143,2768895,2867199,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1.3,2374.8,5723,43391,45855,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,6.7,2089.3,8903,47551,50047,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,13.3,1770.4,13023,56127,59519,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,66.7,920.5,34719,104063,107775,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,133.3,582.9,18639,166783,172543,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,666.7,111.7,215423,865279,886271,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1333.3,47.3,417279,2195455,2983935,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,2000.0,35.8,155135,2775039,2832383,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1.3,2361.2,5727,43583,46495,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,6.7,2077.2,10511,47871,49887,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,13.3,1853.0,5487,54495,57695,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,66.7,938.0,10943,104511,108031,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,133.3,580.9,26079,166143,171135,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,666.7,106.7,285183,956415,992767,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1333.3,47.7,230015,2199551,3061759,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,2000.0,35.6,203519,2791423,2869247,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
